arrival_time,departure_stage,screening_start,screening_end
8:17,Screening,8:17,8:18
8:18,Screening,8:19,8:20
8:21,Screening,8:22,8:23
8:24,Screening,8:25,8:25
8:25,Screening,8:26,8:27
8:26,Screening,8:26,8:27
8:29,Screening,8:31,8:32
8:29,Screening,8:32,8:32
8:33,Screening,8:33,8:34
8:35,Screening,8:40,8:41
8:38,Screening,8:38,8:40
8:38,Screening,8:40,8:40
8:41,Screening,8:43,8:43
8:44,Screening,8:46,8:48
8:45,Screening,8:45,8:45
8:48,Screening,8:48,8:50
8:48,Screening,8:49,8:52
8:50,Screening,8:51,8:51
8:52,Screening,8:53,8:54
8:53,Screening,8:56,8:58
8:54,Screening,8:55,8:55
8:54,Screening,8:57,8:58
8:55,Screening,8:55,8:56
8:58,Screening,9:00,9:01
8:59,Screening,9:03,9:03
8:59,Screening,9:00,9:00
9:01,Screening,9:07,9:07
9:07,Screening,9:08,9:09
9:09,Screening,9:10,9:10
9:09,Screening,9:12,9:13
9:10,Screening,9:12,9:12
9:15,Screening,9:18,9:20
9:15,Screening,9:22,9:25
9:16,Screening,9:17,9:19
9:16,Screening,9:17,9:18
9:19,Screening,9:20,9:20
9:20,Screening,9:22,9:23
9:28,Screening,9:31,9:33
9:31,Screening,9:33,9:33
9:40,Screening,9:41,9:42
9:41,Screening,9:41,9:45
9:41,Screening,9:42,9:42
9:42,Screening,9:43,9:45
9:42,Screening,9:43,9:50
9:42,Screening,9:44,9:44
9:45,Screening,9:46,9:48
9:45,Screening,9:50,9:53
9:46,Screening,9:50,9:54
9:46,Screening,9:49,9:50
9:48,Screening,9:50,9:50
9:49,Screening,9:50,9:50
9:54,Screening,9:58,10:04
9:54,Screening,9:55,9:59
9:55,Screening,9:57,9:58
9:58,Screening,10:00,10:00
9:59,Screening,10:00,10:03
9:59,Screening,10:01,10:06
10:01,Screening,10:05,10:09
10:01,Screening,10:02,10:02
10:02,Screening,10:05,10:09
